ethnicity,date,filename,group
ASN,06/23/2005,GSM136508.CEL.gz,1
ASN,06/27/2005,GSM136530.CEL.gz,1
ASN,06/27/2005,GSM136517.CEL.gz,1
ASN,10/28/2005,GSM136576.CEL.gz,1
ASN,10/07/2005,GSM136566.CEL.gz,1
ASN,10/07/2005,GSM136574.CEL.gz,1
ASN,10/28/2005,GSM136575.CEL.gz,1
ASN,10/07/2005,GSM136569.CEL.gz,1
ASN,10/07/2005,GSM136568.CEL.gz,1
ASN,10/07/2005,GSM136559.CEL.gz,1
ASN,10/07/2005,GSM136565.CEL.gz,1
ASN,10/07/2005,GSM136573.CEL.gz,1
ASN,06/27/2005,GSM136523.CEL.gz,0
ASN,06/23/2005,GSM136509.CEL.gz,0
CEU,06/10/2005,GSM136727.CEL.gz,0
ASN,06/23/2005,GSM136510.CEL.gz,0
ASN,06/23/2005,GSM136515.CEL.gz,0
ASN,06/27/2005,GSM136522.CEL.gz,0
ASN,06/23/2005,GSM136507.CEL.gz,0
ASN,06/27/2005,GSM136524.CEL.gz,0
ASN,06/23/2005,GSM136514.CEL.gz,0
ASN,10/07/2005,GSM136563.CEL.gz,0
ASN,10/07/2005,GSM136564.CEL.gz,0
ASN,10/07/2005,GSM136572.CEL.gz,0
